inst,instLabel,ror
http://www.wikidata.org/entity/Q1342858,Latvijas Biozinātņu un tehnoloģiju universitāte,03f077y84
http://www.wikidata.org/entity/Q4076909,Baltijas Starptautiskā akadēmija,02r52cf76
http://www.wikidata.org/entity/Q4254869,Latvijas Jūras akadēmija,00xxekd18
http://www.wikidata.org/entity/Q4254872,Latvijas Kultūras akadēmija,03f18y477
http://www.wikidata.org/entity/Q4394523,Rīgas Starptautiskā ekonomikas un biznesa administrācijas augstskola,00pc6v375
http://www.wikidata.org/entity/Q1854796,Daugavpils Universitāte,01mrkb883
http://www.wikidata.org/entity/Q2007643,Rīgas Stradiņa universitāte,03nadks56
http://www.wikidata.org/entity/Q2570442,Jāzepa Vītola Latvijas Mūzikas akadēmija,014zenb08
http://www.wikidata.org/entity/Q3498695,Liepājas Universitāte,01gzemj61
http://www.wikidata.org/entity/Q15649513,Starptautiskā praktiskās psiholoģijas augstskola,00skfd876
